Cycle start time,Cycle end time,Cycle timezone,Recovery score %,Resting heart rate (bpm),Heart rate variability (ms),Skin temp (celsius),Blood oxygen %,Day Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %
2024-05-06 21:10:50,2024-05-07 20:59:28,UTC-04:00,47,77,17,33.40,96.37,9.0,1855,181,84,2024-05-06 21:10:50,2024-05-07 05:47:41,99,16.4,456,505,246,92,118,49,461,3,90,90
2024-05-05 20:57:27,2024-05-06 21:10:50,UTC-04:00,31,81,14,33.20,96.35,4.9,1754,142,85,2024-05-05 20:57:27,2024-05-06 06:07:00,99,16.3,456,546,278,109,69,90,462,3,83,88
2024-05-04 20:31:37,2024-05-05 20:57:27,UTC-04:00,33,80,15,32.89,95.09,5.1,1773,150,90,2024-05-04 20:31:37,2024-05-05 05:50:10,99,16.2,451,545,252,81,118,94,457,0,82,79
2024-05-03 21:00:07,2024-05-04 20:31:37,UTC-04:00,45,85,17,33.30,97.44,4.4,1673,151,88,2024-05-03 21:00:07,2024-05-04 06:37:06,100,14.0,535,573,329,75,131,38,509,51,93,81
2024-05-02 22:24:20,2024-05-03 21:00:07,UTC-04:00,18,93,12,34.40,95.54,4.4,1599,141,92,2024-05-02 22:24:20,2024-05-03 05:54:43,79,14.8,397,450,253,61,83,53,500,38,88,85
2024-05-01 21:59:07,2024-05-02 22:24:20,UTC-04:00,37,89,16,32.52,97.10,7.5,1926,144,93,2024-05-01 21:59:07,2024-05-02 05:55:14,85,13.7,431,465,183,73,175,34,508,47,92,84
2024-04-30 21:03:54,2024-05-01 21:59:07,UTC-04:00,25,85,12,33.70,96.11,7.6,1914,148,93,2024-04-30 21:03:54,2024-05-01 05:57:22,81,15.3,405,527,275,31,99,122,500,19,76,89
2024-04-29 20:48:45,2024-04-30 21:03:54,UTC-04:00,41,85,16,32.50,96.55,13.3,2170,185,90,2024-04-29 20:48:45,2024-04-30 06:00:08,92,15.6,450,533,240,95,115,83,489,30,84,86
2024-04-28 19:55:22,2024-04-29 20:48:45,UTC-04:00,31,85,12,33.90,95.93,5.0,1780,141,90,2024-04-28 19:55:22,2024-04-29 05:45:36,88,14.1,465,587,338,84,43,122,527,29,81,76
2024-04-27 21:45:50,2024-04-28 19:55:22,UTC-04:00,41,83,18,33.20,97.17,15.9,2552,182,96,2024-04-27 21:45:50,2024-04-28 05:53:43,88,15.1,419,473,233,89,97,54,478,12,89,91
2024-04-26 21:31:17,2024-04-27 21:45:50,UTC-04:00,29,83,18,33.27,97.58,9.7,1978,183,91,2024-04-26 21:31:17,2024-04-27 06:23:51,96,15.8,460,507,229,76,155,47,480,22,91,91
2024-04-25 21:22:18,2024-04-26 21:31:17,UTC-04:00,14,95,10,33.23,95.48,5.0,1721,147,93,2024-04-25 21:22:18,2024-04-26 06:18:03,91,14.7,447,515,329,71,47,68,492,26,86,89
2024-04-24 21:17:08,2024-04-25 21:22:18,UTC-04:00,16,91,11,32.37,96.57,9.5,1950,141,95,2024-04-24 21:17:08,2024-04-25 05:44:03,89,15.8,443,504,180,116,147,61,496,30,87,88
2024-04-23 21:46:07,2024-04-24 21:17:08,UTC-04:00,19,87,14,33.11,95.53,9.5,1970,164,96,2024-04-23 21:46:07,2024-04-24 05:46:17,88,15.9,426,478,330,74,22,52,487,0,89,80
2024-04-22 20:50:06,2024-04-23 21:46:07,UTC-04:00,94,55,57,31.60,97.46,14.3,2217,195,75,2024-04-22 20:50:06,2024-04-23 05:45:37,100,12.9,483,529,240,108,135,46,457,0,94,88
2024-04-21 20:38:02,2024-04-22 20:50:06,UTC-04:00,95,58,52,33.17,95.06,4.4,1717,150,68,2024-04-21 20:38:02,2024-04-22 06:07:22,100,13.5,537,566,238,138,161,29,458,0,94,83
2024-04-20 20:07:17,2024-04-21 20:38:02,UTC-04:00,98,61,60,33.10,96.92,5.5,1799,142,74,2024-04-20 20:07:17,2024-04-21 06:44:46,100,14.3,545,633,392,65,88,88,461,3,86,75
2024-04-19 20:50:34,2024-04-20 20:07:17,UTC-04:00,96,60,53,32.20,97.29,4.3,1645,152,72,2024-04-19 20:50:34,2024-04-20 06:21:48,99,13.4,512,568,215,135,162,56,518,57,91,81
2024-04-18 22:48:53,2024-04-19 20:50:34,UTC-04:00,35,84,14,32.80,97.21,7.3,1755,154,89,2024-04-18 22:48:53,2024-04-19 05:44:12,76,15.5,354,414,144,114,96,60,469,11,85,77
2024-04-17 21:05:05,2024-04-18 22:48:53,UTC-04:00,29,85,13,32.30,97.54,4.4,1824,134,88,2024-04-17 21:05:05,2024-04-18 05:50:04,96,13.9,468,522,296,89,83,54,486,28,90,89
2024-04-16 21:19:07,2024-04-17 21:05:05,UTC-04:00,29,82,12,31.74,96.35,4.2,1671,132,88,2024-04-16 21:19:07,2024-04-17 05:48:34,91,15.5,447,506,237,84,126,59,492,0,91,83
2024-04-15 20:17:33,2024-04-16 21:19:07,UTC-04:00,48,75,18,32.70,96.03,15.1,2278,199,86,2024-04-15 20:17:33,2024-04-16 05:32:52,100,15.2,503,552,261,106,136,49,498,38,91,74
2024-04-14 21:37:54,2024-04-15 20:17:33,UTC-04:00,31,79,12,31.00,97.38,6.4,1707,144,86,2024-04-14 21:37:54,2024-04-15 05:46:04,87,15.4,401,482,230,116,55,81,462,0,83,83
2024-04-13 21:50:57,2024-04-14 21:37:54,UTC-04:00,46,84,16,33.70,96.94,8.0,1856,154,91,2024-04-13 21:50:57,2024-04-14 06:52:04,100,16.3,491,538,340,62,89,47,473,11,92,80
2024-04-12 20:32:55,2024-04-13 21:50:57,UTC-04:00,43,85,20,33.30,95.39,8.0,1980,145,89,2024-04-12 20:32:55,2024-04-13 06:23:47,96,16.1,500,588,276,104,120,88,518,60,87,65
2024-04-11 22:51:07,2024-04-12 20:32:55,UTC-04:00,71,72,35,33.20,94.97,5.0,1565,149,79,2024-04-11 22:51:07,2024-04-12 07:28:53,77,14.1,394,515,158,119,117,121,514,57,76,66
2024-04-10 21:37:47,2024-04-11 22:51:07,UTC-04:00,95,71,64,32.50,96.53,4.3,1779,144,79,2024-04-10 21:37:47,2024-04-11 05:44:41,83,14.7,422,486,389,26,7,64,511,53,88,87
2024-04-09 21:56:59,2024-04-10 21:37:47,UTC-04:00,39,81,14,33.73,97.67,4.3,1681,138,87,2024-04-09 21:56:59,2024-04-10 05:38:58,78,15.5,377,449,154,92,131,72,485,27,83,78
2024-04-08 21:30:56,2024-04-09 21:56:59,UTC-04:00,42,77,14,33.30,96.40,4.2,1710,131,84,2024-04-08 21:30:56,2024-04-09 05:47:14,91,15.0,414,493,230,67,117,79,457,0,86,74
2024-04-07 19:28:56,2024-04-08 21:30:56,UTC-04:00,47,79,18,32.63,96.02,4.4,1834,133,85,2024-04-07 19:28:56,2024-04-08 06:17:02,100,13.1,590,636,348,125,117,46,519,61,93,65
2024-04-06 20:24:22,2024-04-07 19:28:56,UTC-04:00,34,81,13,32.70,92.26,4.3,1622,143,88,2024-04-06 20:24:22,2024-04-07 06:01:38,84,13.8,485,577,186,118,181,92,581,122,84,63
2024-04-06 00:21:33,2024-04-06 20:24:22,UTC-04:00,25,88,13,34.00,97.08,5.8,1471,152,94,2024-04-06 00:21:33,2024-04-06 06:18:27,57,13.6,321,353,145,91,85,32,566,104,91,76
2024-04-05 00:03:52,2024-04-06 00:21:33,UTC-04:00,19,96,9,34.00,96.03,7.7,1903,148,96,2024-04-05 00:03:52,2024-04-05 05:47:23,58,14.8,295,337,154,66,75,42,505,42,88,71
2024-04-03 21:26:38,2024-04-05 00:03:52,UTC-04:00,27,86,11,33.67,96.56,8.5,2115,142,92,2024-04-03 21:26:38,2024-04-04 05:55:22,84,15.1,428,508,282,94,52,80,512,29,84,91
2024-04-02 21:58:05,2024-04-03 21:26:38,UTC-04:00,93,62,46,32.50,96.12,13.6,2070,185,79,2024-04-02 21:58:05,2024-04-03 06:05:40,88,13.8,433,486,196,85,152,53,492,5,89,89
2024-04-01 22:08:05,2024-04-02 21:58:05,UTC-04:00,96,61,44,33.52,94.44,14.3,2106,189,78,2024-04-01 22:08:05,2024-04-02 06:05:22,98,13.6,453,476,231,76,146,23,462,0,95,83
2024-03-31 20:50:08,2024-04-01 22:08:05,UTC-04:00,99,72,50,33.30,95.98,7.8,1970,156,82,2024-03-31 20:50:08,2024-04-01 06:02:16,100,15.9,515,547,351,74,90,32,493,34,94,86
2024-03-30 20:37:31,2024-03-31 20:50:08,UTC-04:00,72,76,15,33.50,96.69,5.6,1758,136,89,2024-03-30 20:37:31,2024-03-31 06:14:47,90,15.4,461,577,273,79,109,116,515,53,80,78
2024-03-29 21:59:45,2024-03-30 20:37:31,UTC-04:00,39,85,10,33.86,96.52,7.5,1743,173,91,2024-03-29 21:59:45,2024-03-30 06:04:45,78,14.6,384,479,244,91,49,95,492,34,80,80
2024-03-28 21:32:48,2024-03-29 21:59:45,UTC-04:00,47,91,12,33.10,96.39,4.5,1730,146,90,2024-03-28 21:32:48,2024-03-29 07:12:08,87,15.4,458,579,297,114,47,121,526,69,80,77
2024-03-27 22:24:29,2024-03-28 21:32:48,UTC-04:00,38,79,11,34.67,95.44,4.3,1645,129,88,2024-03-27 22:24:29,2024-03-28 05:45:14,71,14.9,331,436,238,64,29,105,469,12,75,81
2024-03-26 21:13:28,2024-03-27 22:24:29,UTC-04:00,74,79,16,32.80,95.79,3.7,1751,121,80,2024-03-26 21:13:28,2024-03-27 05:59:52,96,15.7,460,525,254,104,102,65,479,22,87,83
2024-03-25 21:57:31,2024-03-26 21:13:28,UTC-04:00,48,89,12,33.10,96.73,3.3,1625,124,88,2024-03-25 21:57:31,2024-03-26 05:56:48,91,15.7,422,475,231,63,128,53,466,5,88,74
2024-03-24 20:35:57,2024-03-25 21:57:31,UTC-04:00,37,84,10,33.20,97.70,7.5,1919,143,90,2024-03-24 20:35:57,2024-03-25 05:34:25,98,15.4,462,535,319,90,53,73,470,0,87,86
2024-03-23 20:10:45,2024-03-24 20:35:57,UTC-04:00,87,86,21,34.80,95.38,11.0,2047,165,98,2024-03-23 20:10:45,2024-03-24 06:50:59,100,17.6,588,640,236,130,222,52,503,13,93,80
2024-03-22 21:34:20,2024-03-23 20:10:45,UTC-04:00,73,84,16,34.10,94.88,14.7,2133,179,96,2024-03-22 21:34:20,2024-03-23 07:07:28,95,16.1,447,571,252,75,120,124,468,10,81,74
2024-03-21 20:37:01,2024-03-22 21:34:20,UTC-04:00,46,82,11,32.80,95.71,4.8,1787,157,87,2024-03-21 20:37:01,2024-03-22 06:17:01,97,14.8,474,548,291,112,71,74,491,15,86,80
2024-03-20 19:53:32,2024-03-21 20:37:01,UTC-04:00,62,77,14,32.10,97.03,12.3,2065,185,85,2024-03-20 19:53:32,2024-03-21 05:44:44,95,13.9,482,591,345,80,57,109,506,47,81,69
2024-03-19 21:19:31,2024-03-20 19:53:32,UTC-04:00,95,78,22,33.42,96.44,5.7,1667,145,85,2024-03-19 21:19:31,2024-03-20 05:46:04,85,16.6,430,505,194,82,154,75,503,44,86,70
2024-03-18 20:59:36,2024-03-19 21:19:31,UTC-04:00,47,83,11,34.10,96.50,6.4,1811,147,90,2024-03-18 20:59:36,2024-03-19 05:15:39,85,15.4,379,483,278,49,52,104,448,0,78,66
2024-03-17 21:02:09,2024-03-18 20:59:36,UTC-04:00,54,84,12,33.90,96.05,6.0,1766,160,89,2024-03-17 21:02:09,2024-03-18 06:02:17,100,15.6,470,535,301,112,57,65,445,55,91,49
2024-03-16 22:33:56,2024-03-17 21:02:09,UTC-04:00,23,91,8,34.30,95.38,7.7,1718,172,97,2024-03-16 22:33:56,2024-03-17 07:43:19,78,15.5,404,549,215,124,65,145,516,53,73,78
2024-03-15 22:23:13,2024-03-16 22:33:56,UTC-04:00,56,81,13,34.30,95.50,8.3,1932,163,92,2024-03-15 22:23:13,2024-03-16 07:09:18,85,15.3,454,516,241,96,117,62,537,77,88,76
2024-03-14 22:00:15,2024-03-15 22:23:13,UTC-04:00,30,84,10,33.58,95.61,6.4,1843,160,87,2024-03-14 22:00:15,2024-03-15 05:54:21,70,14.2,356,472,227,92,37,116,511,53,75,88
2024-03-13 21:11:39,2024-03-14 22:00:15,UTC-04:00,58,81,14,33.55,96.79,4.5,1753,131,85,2024-03-13 21:11:39,2024-03-14 05:54:43,79,14.9,404,523,241,105,58,119,511,52,77,86
2024-03-12 21:43:00,2024-03-13 21:11:39,UTC-04:00,42,82,12,33.90,96.30,6.3,1757,138,87,2024-03-12 21:43:00,2024-03-13 06:05:15,85,13.2,451,500,197,78,176,49,532,40,90,81
2024-03-11 20:54:30,2024-03-12 21:43:00,UTC-04:00,74,82,19,34.41,96.87,15.0,2225,190,87,2024-03-11 20:54:30,2024-03-12 06:07:22,88,12.2,473,549,220,62,191,76,536,89,86,65
2024-03-10 22:23:56,2024-03-11 20:54:30,UTC-04:00,44,85,12,33.60,96.33,7.0,1725,172,87,2024-03-10 22:23:56,2024-03-11 05:55:21,63,15.8,306,449,128,124,54,143,484,9,69,86
2024-03-09 20:49:09,2024-03-10 21:23:56,UTC-05:00,41,92,11,34.70,96.48,12.1,2150,171,98,2024-03-09 20:49:09,2024-03-10 06:17:02,97,15.9,504,566,258,118,128,62,518,58,88,79
2024-03-08 21:16:21,2024-03-09 20:49:09,UTC-05:00,50,80,12,34.36,95.79,6.6,1774,153,86,2024-03-08 21:16:21,2024-03-09 06:41:17,80,14.6,457,563,284,137,36,106,574,116,81,77
2024-03-08 00:05:30,2024-03-08 21:16:21,UTC-05:00,28,87,9,33.70,95.79,5.1,1526,152,87,2024-03-08 00:05:30,2024-03-08 06:16:00,55,14.8,284,349,163,81,40,65,516,39,81,61
2024-03-06 21:09:48,2024-03-08 00:05:30,UTC-05:00,76,75,17,34.00,96.05,12.4,2100,202,84,2024-03-06 21:09:48,2024-03-07 05:47:05,88,14.7,450,515,234,102,114,65,511,54,88,86
2024-03-05 20:55:18,2024-03-06 21:09:48,UTC-05:00,38,80,11,33.10,95.50,4.4,1699,138,83,2024-03-05 20:55:18,2024-03-06 05:44:59,80,14.0,443,529,220,85,138,86,551,61,84,76
2024-03-04 21:24:39,2024-03-05 20:55:18,UTC-05:00,46,78,12,32.50,96.90,14.6,2194,185,87,2024-03-04 21:24:39,2024-03-05 05:46:34,77,14.6,411,499,237,83,91,88,535,73,82,74
2024-03-03 21:27:27,2024-03-04 21:24:39,UTC-05:00,39,79,11,32.77,96.64,7.5,1871,151,83,2024-03-03 21:27:27,2024-03-04 05:17:03,71,15.0,361,469,199,101,61,108,509,26,76,74
2024-03-02 23:19:43,2024-03-03 21:27:27,UTC-05:00,29,83,9,32.80,96.12,13.6,1988,182,90,2024-03-02 23:19:43,2024-03-03 07:49:55,89,15.5,427,510,258,96,73,83,479,0,84,66
2024-03-01 21:46:03,2024-03-02 23:19:43,UTC-05:00,75,79,21,34.30,96.52,13.0,2163,186,87,2024-03-01 21:46:03,2024-03-02 07:16:06,100,16.5,523,564,271,111,141,41,499,39,92,80
2024-02-29 21:48:08,2024-03-01 21:46:03,UTC-05:00,20,88,7,33.41,95.95,6.8,1803,174,83,2024-02-29 21:48:08,2024-03-01 05:56:58,84,14.6,419,486,252,99,68,67,498,40,86,92
2024-02-28 21:27:00,2024-02-29 21:48:08,UTC-05:00,41,77,12,32.30,96.28,4.2,1731,134,84,2024-02-28 21:27:00,2024-02-29 05:55:38,85,15.5,447,506,261,84,102,59,529,70,88,91
2024-02-27 21:00:51,2024-02-28 21:27:00,UTC-05:00,36,77,11,33.20,96.69,5.8,1804,151,84,2024-02-27 21:00:51,2024-02-28 05:54:52,71,14.6,348,534,210,67,71,186,489,0,65,89
2024-02-26 21:05:29,2024-02-27 21:00:51,UTC-05:00,92,76,26,32.20,96.06,14.7,2190,185,83,2024-02-26 21:05:29,2024-02-27 05:59:59,100,17.0,483,529,315,85,83,46,458,0,91,82
2024-02-25 21:36:24,2024-02-26 21:05:29,UTC-05:00,53,86,12,34.60,96.13,4.6,1666,146,84,2024-02-25 21:36:24,2024-02-26 05:55:36,100,15.7,467,498,309,88,70,31,458,0,93,79
2024-02-24 20:15:42,2024-02-25 21:36:24,UTC-05:00,55,77,12,32.90,96.83,5.3,1813,138,88,2024-02-24 20:15:42,2024-02-25 06:30:07,100,15.3,511,613,273,133,105,102,461,0,83,69
2024-02-23 21:08:27,2024-02-24 20:15:42,UTC-05:00,50,79,11,34.22,95.96,7.5,1830,153,87,2024-02-23 21:08:27,2024-02-24 06:57:41,100,15.1,490,589,304,122,64,99,471,69,83,64
2024-02-22 23:26:51,2024-02-23 21:08:27,UTC-05:00,25,94,7,33.98,95.78,4.6,1540,162,90,2024-02-22 23:26:51,2024-02-23 06:06:39,70,15.1,333,397,209,74,50,64,473,14,87,68
2024-02-21 21:38:18,2024-02-22 23:26:51,UTC-05:00,46,84,15,33.60,96.41,5.1,1860,147,88,2024-02-21 21:38:18,2024-02-22 06:08:33,95,16.6,456,505,290,73,93,49,479,19,91,79
2024-02-20 20:31:37,2024-02-21 21:38:18,UTC-05:00,33,79,11,,97.22,6.1,1843,142,86,2024-02-20 20:31:37,2024-02-21 05:58:55,92,15.0,452,562,312,61,79,110,492,0,86,76
2024-02-19 20:50:35,2024-02-20 20:31:37,UTC-05:00,36,75,12,34.40,96.02,15.0,2218,191,88,2024-02-19 20:50:35,2024-02-20 06:14:09,100,14.6,469,551,330,77,62,82,458,0,85,74
