Cycle start time,Cycle end time,Cycle timezone,Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %,Nap
2024-05-05 20:57:27,2024-05-06 21:10:50,UTC-04:00,2024-05-05 20:57:27,2024-05-06 06:07:00,99,16.3,456,546,278,109,69,90,462,3,83,88,false
2024-05-04 20:31:37,2024-05-05 20:57:27,UTC-04:00,2024-05-04 20:31:37,2024-05-05 05:50:10,99,16.2,451,545,252,81,118,94,457,0,82,79,false
2024-05-03 21:00:07,2024-05-04 20:31:37,UTC-04:00,2024-05-03 21:00:07,2024-05-04 06:37:06,100,14.0,535,573,329,75,131,38,509,51,93,81,false
2024-05-02 22:24:20,2024-05-03 21:00:07,UTC-04:00,2024-05-02 22:24:20,2024-05-03 05:54:43,79,14.8,397,450,253,61,83,53,500,38,88,85,false
2024-05-01 21:59:07,2024-05-02 22:24:20,UTC-04:00,2024-05-01 21:59:07,2024-05-02 05:55:14,85,13.7,431,465,183,73,175,34,508,47,92,84,false
2024-04-30 21:03:54,2024-05-01 21:59:07,UTC-04:00,2024-04-30 21:03:54,2024-05-01 05:57:22,81,15.3,405,527,275,31,99,122,500,19,76,89,false
2024-04-29 20:48:45,2024-04-30 21:03:54,UTC-04:00,2024-04-29 20:48:45,2024-04-30 06:00:08,92,15.6,450,533,240,95,115,83,489,30,84,86,false
2024-04-28 19:55:22,2024-04-29 20:48:45,UTC-04:00,2024-04-28 19:55:22,2024-04-29 05:45:36,88,14.1,465,587,338,84,43,122,527,29,81,76,false
2024-04-27 21:45:50,2024-04-28 19:55:22,UTC-04:00,2024-04-27 21:45:50,2024-04-28 05:53:43,88,15.1,419,473,233,89,97,54,478,12,89,91,false
2024-04-26 21:31:17,2024-04-27 21:45:50,UTC-04:00,2024-04-26 21:31:17,2024-04-27 06:23:51,96,15.8,460,507,229,76,155,47,480,22,91,91,false
2024-04-25 21:22:18,2024-04-26 21:31:17,UTC-04:00,2024-04-25 21:22:18,2024-04-26 06:18:03,91,14.7,447,515,329,71,47,68,492,26,86,89,false
2024-04-24 21:17:08,2024-04-25 21:22:18,UTC-04:00,2024-04-24 21:17:08,2024-04-25 05:44:03,89,15.8,443,504,180,116,147,61,496,30,87,88,false
2024-04-23 21:46:07,2024-04-24 21:17:08,UTC-04:00,2024-04-23 21:46:07,2024-04-24 05:46:17,88,15.9,426,478,330,74,22,52,487,0,89,80,false
