Cycle start time,Cycle end time,Cycle timezone,Workout start time,Workout end time,Duration (min),Activity name,Activity Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),HR Zone 1 %,HR Zone 2 %,HR Zone 3 %,HR Zone 4 %,HR Zone 5 %,GPS enabled,Distance (meters),Altitude gain (meters),Altitude change (meters)
2024-04-15 20:17:33,2024-04-16 21:19:07,UTC-04:00,2024-04-16 15:50:25,2024-04-16 16:16:17,25,Running,13.3,382.0,199,168,0,1,15,33,51,false,4786.45,77.01,-3.64
2024-04-15 20:17:33,2024-04-16 21:19:07,UTC-04:00,2024-04-16 12:27:01,2024-04-16 12:48:07,21,Disc Golf,4.8,74.0,143,121,10,71,19,0,0,true,953.88,105.28,4.29
2024-04-15 20:17:33,2024-04-16 21:19:07,UTC-04:00,2024-04-16 10:24:31,2024-04-16 10:31:27,6,Walking,4.2,17.0,129,117,4,96,0,0,0,true,635.94,10.56,2.19
2024-04-14 21:37:54,2024-04-15 20:17:33,UTC-04:00,2024-04-15 11:53:27,2024-04-15 12:31:10,37,Disc Golf,5.3,114.0,138,119,6,93,1,0,0,true,1837.83,159.82,-0.39
2024-04-13 21:50:57,2024-04-14 21:37:54,UTC-04:00,2024-04-14 09:22:15,2024-04-14 11:06:16,104,Hiking/Rucking,6.4,249.0,154,111,46,41,10,0,0,true,4622.02,639.66,2.82
2024-04-09 21:56:59,2024-04-10 21:37:47,UTC-04:00,2024-04-10 12:42:33,2024-04-10 12:55:44,13,Walking,3.5,16.0,127,107,76,24,0,0,0,true,1204.10,57.50,-2.60
2024-04-05 00:03:52,2024-04-06 00:21:33,UTC-04:00,2024-04-05 11:30:14,2024-04-05 12:36:50,66,Yard Work,6.5,224.0,148,122,9,69,22,0,0,false,,,
2024-04-03 21:26:38,2024-04-05 00:03:52,UTC-04:00,2024-04-04 12:11:55,2024-04-04 13:08:50,56,Disc Golf,6.4,213.0,142,121,9,65,25,0,0,true,2032.07,306.55,-1.96
2024-04-02 21:58:05,2024-04-03 21:26:38,UTC-04:00,2024-04-03 14:14:21,2024-04-03 14:40:28,26,Running,12.8,363.0,185,163,1,0,6,43,50,true,5013.55,88.96,-1.84
2024-04-01 22:08:05,2024-04-02 21:58:05,UTC-04:00,2024-04-02 15:57:37,2024-04-02 16:25:44,28,Running,13.3,371.0,189,160,1,2,13,31,51,true,4714.65,82.70,-5.64
